Time,Open,High,Low,Last,Change,Volume
12/15/2020,643.28,646.9,623.8,633.25,-6.58,45223500
12/14/2020,619,642.7499,610.2001,639.83,29.84,52040600
12/11/2020,615.01,624,596.8,609.99,-17.08,46474900
12/10/2020,574.37,627.75,566.34,627.07,22.59,67083100
12/09/2020,653.69,654.32,588,604.48,-45.4,71291104
12/08/2020,625.51,651.28,618.5,649.88,8.12,64265000
12/07/2020,604.92,648.7856,603.05,641.76,42.72,56309700
12/04/2020,591.01,599.04,585.5,599.04,5.66,29401300
12/03/2020,590.02,598.97,582.43,593.38,24.56,42552000
12/02/2020,556.44,571.54,541.21,568.82,-15.94,47775600
12/01/2020,597.59,597.85,572.05,584.76,17.16,40382800
11/30/2020,602.21,607.8,554.51,567.6,-18.16,63003000
11/27/2020,581.16,598.78,578.45,585.76,11.76,37561000
11/25/2020,550.06,574,545.37,574,18.62,48930100
11/24/2020,540.4,559.99,526.2,555.38,33.53,53648400
11/23/2020,503.5,526,501.79,521.85,32.24,50260300
11/20/2020,497.99,502.5,489.06,489.61,-9.66,32911900
11/19/2020,492,508.6112,487.57,499.27,12.63,62475300
11/18/2020,448.35,496,443.5001,486.64,45.03,78044000
11/17/2020,460.17,462,433.01,441.61,33.52,61188200
11/16/2020,408.93,412.45,404.0868,408.09,-0.41,26838600
11/13/2020,410.85,412.5319,401.66,408.5,-3.26,19830300
11/12/2020,415.05,423,409.52,411.76,-5.37,19940500
11/11/2020,416.45,418.695,410.58,417.13,6.77,17357700
11/10/2020,420.09,420.09,396.0301,410.36,-10.9,30284200
11/09/2020,439.5,452.5,421,421.26,-8.69,34833000
11/06/2020,436.1,436.57,424.28,429.95,-8.14,21706000
11/05/2020,428.3,440,424.0001,438.09,17.11,28414500
11/04/2020,430.62,435.4,417.1,420.98,-2.92,32143000
11/03/2020,409.73,427.77,406.69,423.9,23.39,34351700
11/02/2020,394,406.9799,392.3,400.51,12.47,29021100
10/30/2020,406.9,407.5915,379.11,388.04,-22.79,42587600
10/29/2020,409.96,418.06,406.46,410.83,4.81,22655300
10/28/2020,416.48,418.6,406,406.02,-18.66,25451400
10/27/2020,423.76,430.5,420.1,424.68,4.4,22686500
10/26/2020,411.63,425.76,410,420.28,-0.35,28239100
10/23/2020,421.84,422.8859,407.3801,420.63,-5.16,33716900
10/22/2020,441.92,445.23,424.51,425.79,3.15,39993100
10/21/2020,422.7,432.95,421.25,422.64,0.7,32370400
10/20/2020,431.75,431.75,419.0501,421.94,-8.89,31656200
10/19/2020,446.24,447,428.87,430.83,-8.84,36287800
10/16/2020,454.44,455.9499,438.85,439.67,-9.21,32775800
10/15/2020,450.31,456.57,442.5,448.88,-12.42,35672300
10/14/2020,449.78,465.9,447.35,461.3,14.65,48045300
10/13/2020,443.35,448.89,436.6,446.65,4.35,34463600
10/12/2020,442,448.74,438.58,442.3,8.3,38791100
10/09/2020,430.13,434.5899,426.4601,434,8.08,28925600
10/08/2020,438.44,439,425.3,425.92,0.62,40421100
10/07/2020,419.87,429.9,413.845,425.3,11.32,43127700
10/06/2020,423.79,428.7799,406.05,413.98,-11.7,49146200
10/05/2020,423.35,433.64,419.33,425.68,10.59,44722700
10/02/2020,421.39,439.13,415,415.09,-33.07,71430000
10/01/2020,440.76,448.88,434.42,448.16,19.15,50741400
09/30/2020,421.32,433.93,420.47,429.01,9.94,48145500
09/29/2020,416,428.5,411.6,419.07,-2.13,50341400
09/28/2020,424.62,428.08,415.55,421.2,13.86,49719500
09/25/2020,393.47,408.7323,391.3,407.34,19.55,67208400
09/24/2020,363.8,399.5,351.3,387.79,7.43,96561000
09/23/2020,405.16,412.15,375.8801,380.36,-43.87,95074096
09/22/2020,429.6,437.76,417.6001,424.23,-25.16,79580704
09/21/2020,453.13,455.68,407.07,449.39,7.24,109476800
09/18/2020,447.94,451,428.8,442.15,18.72,86406800
09/17/2020,415.6,437.79,408.0001,423.43,-18.33,76779104
09/16/2020,439.87,457.79,435.31,441.76,-8,72546704
09/15/2020,436.56,461.94,430.7,449.76,30.14,97298200
09/14/2020,380.95,420,373.3,419.62,46.9,83020600
09/11/2020,381.94,382.5,360.5,372.72,1.38,60717400
09/10/2020,386.21,398.99,360.56,371.34,5.06,84930600
09/09/2020,356.6,369,341.51,366.28,36.07,79465696
09/08/2020,356,368.74,329.88,330.21,-88.11,115465600
09/04/2020,399.5,428,372.0201,418.32,11.32,110321800
09/03/2020,407.23,431.8,402,407,-40.37,87596000
09/02/2020,478.99,479.04,405.1206,447.37,-27.68,96176096
09/01/2020,502.14,502.49,470.51,475.05,-23.27,90119400
08/31/2020,444.61,500.14,440.11,498.32,55.64,118374400
08/28/2020,459.024,463.698,437.304,442.68,-5.07,100405496
08/27/2020,436.092,459.12,428.5,447.75,17.116,118465000
08/26/2020,412,433.2,410.7258,430.634,25.966,71196496
08/25/2020,394.978,405.59,393.6,404.668,1.828,53294000
08/24/2020,425.254,425.8,385.504,402.84,-7.156,100318000
08/21/2020,408.952,419.098,405.01,409.996,9.63,107447496
08/20/2020,372.136,404.398,371.412,400.366,24.66,103058496
08/19/2020,373,382.2,368.242,375.706,-1.712,61026500
08/18/2020,379.798,384.78,369.022,377.418,10.29,82372000
08/17/2020,335.4,369.172,334.566,367.128,36.986,101211496
08/14/2020,332.998,333.76,325.328,330.142,5.942,62888000
08/13/2020,322.2,330.236,313.452,324.2,13.248,102126496
08/12/2020,294,317,287,310.952,36.074,109494000
08/11/2020,279.2,284,273,274.878,-8.836,43129000
08/10/2020,289.6,291.5,277.168,283.714,-6.828,37611000
08/07/2020,299.908,299.95,283.002,290.542,-7.374,44482000
08/06/2020,298.166,303.462,295.452,297.916,0.912,29961500
08/05/2020,298.598,299.9676,293.662,297.004,-0.396,24890000
08/04/2020,299.002,305.482,292.4,297.4,0.4,42074500
08/03/2020,289.84,301.962,288.8768,297,10.848,44046500
07/31/2020,303,303.41,284.196,286.152,-11.346,61234500
07/30/2020,297.6,302.648,294.2,297.498,-2.324,38105000
07/29/2020,300.2,306.962,297.4,299.822,4.524,47134000
07/28/2020,300.8,312.94,294.884,295.298,-12.622,79043496
07/27/2020,287,309.588,282.6,307.92,24.52,80243000
07/24/2020,283.202,293,273.308,283.4,-19.214,96983000
07/23/2020,335.79,337.8,296.154,302.614,-15.852,121642496
07/22/2020,319.8,325.284,312.4,318.466,4.794,70805000
07/21/2020,327.986,335,311.6,313.672,-14.928,80786000
07/20/2020,303.802,330,297.6,328.6,28.432,85606496
07/17/2020,302.69,307.502,298,300.168,0.04,46649500
07/16/2020,295.432,306.342,293.2,300.128,-9.074,71503496
07/15/2020,308.6,310,291.4,309.202,5.842,81839000
07/14/2020,311.2,318,286.2,303.36,3.948,117090496
07/13/2020,331.8,358.998,294.222,299.412,-9.518,194926496
07/10/2020,279.2,309.783,275.202,308.93,30.074,116687496
07/09/2020,279.398,281.712,270.256,278.856,5.68,58587500
07/08/2020,281,283.452,262.268,273.176,-4.796,81556496
07/07/2020,278.2,285.9,267.342,277.972,3.656,107448000
07/06/2020,255.338,275.558,253.2088,274.316,32.584,102849000
07/02/2020,244.296,245.6,237.12,241.732,17.806,86250496
07/01/2020,216.6,227.066,216.1,223.926,7.964,66634000
06/30/2020,201.3,217.538,200.746,215.962,14.092,84592496
06/29/2020,193.802,202,189.704,201.87,9.922,45132000
06/26/2020,198.956,199,190.974,191.948,-5.248,44274500
06/25/2020,190.854,197.196,187.43,197.196,5.026,46272500
06/24/2020,198.822,200.177,190.6282,192.17,-8.186,54797500
06/23/2020,199.776,202.4,198.802,200.356,1.492,31826000
06/22/2020,199.99,201.776,198.004,198.864,-1.316,31811500
06/19/2020,202.556,203.194,198.268,200.18,-0.612,43398500
06/18/2020,200.6,203.84,198.8942,200.792,2.434,48759500
06/17/2020,197.542,201,196.5142,198.358,1.932,49454000
06/16/2020,202.37,202.576,192.478,196.426,-1.754,70255000
06/15/2020,183.558,199.768,181.7,198.18,11.124,78485496
06/12/2020,196,197.596,182.52,187.056,-7.512,83816496
06/11/2020,198.04,203.792,194.4,194.568,-10.442,79582000
06/10/2020,198.376,205.496,196.5,205.01,16.876,92817000
06/09/2020,188.002,190.888,184.7862,188.134,-1.85,56940500
06/08/2020,183.8,190,181.832,189.984,12.852,70873496
06/05/2020,175.568,177.304,173.24,177.132,4.256,39059500
06/04/2020,177.976,179.15,171.688,172.876,-3.716,44438500
06/03/2020,177.624,179.588,176.02,176.592,0.28,39747000
06/02/2020,178.94,181.732,174.2,176.312,-3.308,67827496
