Num,Name,Pos,Ht,Wt,Cl,Hmtwn
2,Dexter Williams,RB,71,202,JR,"Winter Garden, FL"
3,C.J. Sanders,WR,68,185,JR,"Granada Hills, CA"
4,Te'von Coney,LB,73,235,JR,"Palm Beach Gardens, FL"
4,Montgomery VanGorder,QB,73,217,SR,"Buford, GA"
5,Nyles Morgan,LB,73,238,SR,"Crete, IL"
6,Equanimeous St. Brown,WR,77,204,JR,"Anaheim, CA"
7,Nick Watkins,CB,73,203,SR,"Desoto, TX"
7,Brandon Wimbush,QB,73,226,JR,"Teaneck, NJ"
9,Daelin Hayes,DL,75,255,SO,"Belleville, MI"
10,Chris Finke,WR,69,177,JR,"Kettering, OH"
12,Ian Book,QB,72,205,SO,"El Dorado Hills, CA"
13,Tyler Luatua,TE,75,260,SR,"Paramount, CA"
14,Devin Studstill,S,72,198,SO,"Riviera Beach, FL"
15,C.J. Holmes,RB,72,206,FR,"Hamden, CT"
17,Nolan Henry,QB,72,195,JR,"Vancouver, WA"
17,Isaiah Robertson,S,73,208,FR,"Bolingbrook, IL"
18,Troy Pride Jr.,CB,71,183,SO,"Greer, SC"
19,Justin Yoon,PK,70,195,JR,"Nashville, TN"
20,Shaun Crawford,CB,69,175,JR,"Lakewood, OH"
21,Jalen Elliott,S,73,208,SO,"Richmond, VA"
22,Asmar Bilal,LB,74,229,JR,"Indianapolis, IN"
23,Drue Tranquill,S,74,230,SR,"Fort Wayne, IN"
24,Mick Assaf,WR,71,202,SO,"Atlanta, GA"
24,Nick Coleman,S,72,187,JR,"Dayton, OH"
25,Brandon Garcia,CB,69,180,FR,"Casa Grande, AZ"
26,Austin Webster,WR,71,191,SR,"Westchester, CA"
26,Ashton White,S,70,197,JR,"Washington, DC"
27,Julian Love,CB,71,190,SO,"Westchester, IL"
28,Nicco Fertitta,S,69,179,JR,"Las Vegas, NV"
29,Sam Kohler,PK,72,189,SR,"Lincoln, NE"
29,Kevin Stepherson,WR,72,180,SO,"Jacksonville, FL"
32,D.J. Morgan,S,74,208,SO,"Norwalk, CA"
33,Josh Adams,RB,74,220,JR,"Warrington, PA"
34,Tony Jones Jr.,RB,71,224,SO,--
35,Grant Hammann,WR,72,183,SR,"Dyersville, IA"
35,Donte Vaughn,CB,74,209,SO,"Memphis, TN"
37,Robert Regan,LB,74,203,JR,"Darien, IL"
38,Deon McIntosh,WR,70,190,SO,"Pompano Beach, FL"
38,Christopher Schilling,S,71,217,SO,"Overland Park, KS"
40,Kier Murphy,LB,73,225,JR,"Rock Island, IL"
40,Brett Segobiano,RB,72,201,SO,"Bloomington, IL"
41,Temitope Agoro,CB,73,190,SO,"Riverdale, MD"
41,Jimmy Thompson,LB,72,216,JR,"Hinsdale, IL"
42,Julian Okwara,DL,76,235,SO,"Charlotte, NC"
42,Jeff Riney,P,70,180,JR,"Katy, TX"
43,Brian Ball,CB,70,193,JR,"Indianapolis, IN"
44,Jamir Jones,LB,75,243,SO,"Rochester, NY"
45,Jonathan Jones,LB,71,227,SO,"Ocoee, FL"
46,Matt Bushland,LS,74,190,SO,"Dallas, TX"
47,Chris Bury,TE,73,242,JR,"Brookline, NH"
48,Greer Martini,LB,75,240,SR,"Cary, NC"
49,Brandon Hutson,LB,75,237,JR,"Battle Creek, MI"
51,Devyn Spruell,LB,74,231,JR,"Warren, NJ"
53,Khalid Kareem,DL,76,267,SO,"Pontiac, MI"
53,Sam Mustipher,OL,74,305,SR,"Olney, MD"
54,Lincoln Feist,DL,74,329,JR,"Rapid City, SD"
54,John Shannon,LS,74,235,SO,"Lake Forest, IL"
55,Jonathan Bonner,DL,75,284,SR,"Chesterfield, MO"
56,Quenton Nelson,OL,77,329,SR,"Holmdel, NJ"
57,Trevor Ruhland,OL,75,303,JR,"Cary, IL"
58,Elijah Taylor,DL,75,280,JR,"Cincinnati, OH"
62,Logan Plantz,OL,74,289,JR,"Frankfort, IL"
63,Sam Bush,OL,76,302,SR,"Newport Beach, CA"
64,Ryan Kilander,DL,73,304,SR,"Rancho Santa Margarita, CA"
67,Jimmy Byrne,OL,76,294,SR,"Cleveland, OH"
68,Mike McGlinchey,OL,80,312,SR,"Philadelphia, PA"
